id,address,price_aed,bedrooms,bathrooms,square_feet,property_type,area,developer,completion_date,view,amenities,service_charges,agent,agency,status,listing_date,last_updated
83,"Building 225, Floor 40, Unit 362, Dubai International Financial Centre, Dubai, UAE",2717651,4,4,5007,Penthouse,Dubai International Financial Centre,Damac Properties,2021-03-07,Sea View,"Central AC, Study Room, Built-in Wardrobes, Maid's Room, Garden, 24/7 Maintenance",24832,نور الحقّ الحكير,Davis-Rivera,Available,2025-05-13,2025-08-24 16:23:04
84,"Building 218, Floor 34, Unit 710, The Springs, Dubai, UAE",1015983,2,3,799,Apartment,The Springs,Dubai Properties,2023-11-04,Mountain View,"Children's Playground, BBQ Area, Swimming Pool, Maid's Room",25554,المهندس مهران آل قصير,آل رفيع-آل مقطة,Rented,2024-10-18,2025-08-24 16:23:04
85,"Building 941, Floor 40, Unit 34, Dubai Knowledge Park, Dubai, UAE",1024873,4,2,5037,Garden Apartment,Dubai Knowledge Park,Bloom Properties,2021-04-22,Pool View,"Modern Kitchen, Central AC, Spa, Security, Terrace, Driver's Room, Maid's Room, Basketball Court",43227,Omar King,"Jones, Colon and Rangel",Sold,2025-05-31,2025-08-24 16:23:04
86,"Building 500, Floor 7, Unit 319, Al Sufouh, Dubai, UAE",734439,7,6,4596,Triplex,Al Sufouh,Deyaar Development,2023-09-07,Pool View,"Garden, Driver's Room, Terrace",32649,السيدة ابتسام بن لادن,Warren-Simpson,Available,2025-05-29,2025-08-24 16:23:04
87,"Building 158, Floor 10, Unit 827, Al Nahda, Dubai, UAE",538106,6,3,2265,Loft,Al Nahda,Chestertons,2022-08-15,Sea View,"Built-in Wardrobes, Parking, Pet Friendly",46381,Melissa Hutchinson,"آل علي, آل معيض and بن لادن",Rented,2024-12-03,2025-08-24 16:23:04
88,"Building 84, Floor 11, Unit 759, Dubai International Financial Centre, Dubai, UAE",6715023,4,6,7023,Penthouse,Dubai International Financial Centre,Knight Frank,2020-12-07,Sea View,"Security, Furnished, Children's Playground, Swimming Pool, Tennis Court",37943,المهندس غانم آل بن لافي,Freeman and Sons,Under Contract,2024-08-27,2025-08-24 16:23:04
89,"Building 168, Floor 31, Unit 162, Jumeirah Park, Dubai, UAE",2057376,0,1,404,Studio,Jumeirah Park,Cluttons,2022-09-01,Sea View,"Tennis Court, Children's Playground, Central AC, Parking, Swimming Pool, Gym",35997,Jaime Kline,آل محمد بن علي بن جماز LLC,Rented,2025-03-25,2025-08-24 16:23:04
90,"Building 842, Floor 6, Unit 840, Al Aweer, Dubai, UAE",3932058,3,4,2558,Townhouse,Al Aweer,Sobha Realty,2022-10-27,Pool View,"Terrace, Basketball Court, Walk-in Closet, Parking, Security, Maid's Room, Children's Playground, Spa",13081,Angela Nelson,Proctor PLC,Sold,2025-04-28,2025-08-24 16:23:04
91,"Building 534, Floor 48, Unit 305, Dubai International Financial Centre, Dubai, UAE",991614,7,3,7116,Loft,Dubai International Financial Centre,Dubai Properties,2027-07-19,Street View,"Garden, Furnished, Pet Friendly, Tennis Court, Swimming Pool, Concierge, Gym",20830,أجوان آل سعود,أبو داوود-آل صفوان,Under Contract,2025-01-31,2025-08-24 16:23:04
92,"Building 772, Floor 20, Unit 677, Al Ghadeer, Dubai, UAE",2291961,5,5,6066,Garden Apartment,Al Ghadeer,Select Group,2026-05-31,Pool View,"Built-in Wardrobes, Modern Kitchen, Children's Playground, Swimming Pool, Balcony, Concierge, Furnished, Gym",39329,Brett Armstrong,Grimes-Miller,Under Contract,2024-12-24,2025-08-24 16:23:04
93,"Building 80, Floor 42, Unit 522, Al Ruwayyah, Dubai, UAE",2103218,7,2,2842,Triplex,Al Ruwayyah,Select Group,2027-03-09,Sea View,"Tennis Court, Pet Friendly, Built-in Wardrobes, Study Room, Swimming Pool",5324,هلالي الراشد,الجفالي LLC,Sold,2025-06-26,2025-08-24 16:23:04
94,"Building 692, Floor 36, Unit 352, Al Hudaiba, Dubai, UAE",1868910,5,3,6237,Townhouse,Al Hudaiba,Knight Frank,2026-08-20,Pool View,"Basketball Court, Swimming Pool, Central AC, Gym, Balcony, Tennis Court",39398,Brendan Hughes,المهنا-بقشان,Sold,2025-05-27,2025-08-24 16:23:04
95,"Building 604, Floor 9, Unit 385, Al Qusais, Dubai, UAE",2623202,4,2,2660,Loft,Al Qusais,Bloom Properties,2024-11-05,Street View,"Pet Friendly, Modern Kitchen, Children's Playground, Swimming Pool",34639,السيد عمّار المهيدب,"الدباغ, فصيل and فصيل",Available,2024-11-17,2025-08-24 16:23:04
96,"Building 618, Floor 15, Unit 564, Al Karama, Dubai, UAE",2646174,7,4,3249,Loft,Al Karama,Azizi Developments,2024-09-08,City View,"Study Room, Swimming Pool, Basketball Court, BBQ Area, Tennis Court, Built-in Wardrobes, Garden",28148,الدكتور خضر بن لادن,Hamilton PLC,Sold,2025-04-19,2025-08-24 16:23:04
97,"Building 529, Floor 25, Unit 905, Dubai Marina, Dubai, UAE",7609986,6,2,7654,Duplex,Dubai Marina,Cluttons,2023-09-22,Street View,"Basketball Court, Maid's Room, 24/7 Maintenance, Garden, BBQ Area, Security, Built-in Wardrobes",40772,David Allen,White-Yang,Available,2025-06-21,2025-08-24 16:23:04
98,"Building 432, Floor 36, Unit 58, Al Qusais Industrial, Dubai, UAE",571980,3,6,5752,Triplex,Al Qusais Industrial,Nakheel,2027-05-06,Pool View,"Spa, Driver's Room, Central AC, Furnished, Walk-in Closet, Study Room, 24/7 Maintenance, Security",5989,Garrett Gardner,المهيدب Ltd,Sold,2025-03-11,2025-08-24 16:23:04
99,"Building 552, Floor 29, Unit 46, Al Quoz, Dubai, UAE",2287492,6,4,3157,Garden Apartment,Al Quoz,Deyaar Development,2024-04-03,Garden View,"Driver's Room, Maid's Room, Concierge, 24/7 Maintenance",30759,المهندس ساهر بقشان,العقيل Ltd,Available,2024-09-16,2025-08-24 16:23:04
100,"Building 115, Floor 35, Unit 650, Dubai International Financial Centre, Dubai, UAE",2095383,3,5,5745,Loft,Dubai International Financial Centre,Cluttons,2020-11-08,Pool View,"Security, Pet Friendly, Driver's Room, Swimming Pool",17561,Cynthia Sloan,الدباغ PLC,Rented,2025-05-11,2025-08-24 16:23:04
101,"Building 560, Floor 10, Unit 306, Al Khawaneej, Dubai, UAE",1828871,7,4,7969,Loft,Al Khawaneej,Chestertons,2022-04-18,Mountain View,"Swimming Pool, Maid's Room, Balcony, Modern Kitchen, BBQ Area, Gym, Built-in Wardrobes",30462,Brian Russo,"آل بن ظافر, آل معيض and الجابر",Sold,2024-11-07,2025-08-24 16:23:04
102,"Building 120, Floor 37, Unit 676, Al Sufouh, Dubai, UAE",13557622,7,5,6005,Penthouse,Al Sufouh,Bloom Properties,2021-10-17,Garden View,"Central AC, Maid's Room, Children's Playground, Driver's Room",40547,الدكتورة غوى حنبولي,Brock-Estrada,Available,2025-01-21,2025-08-24 16:23:04
103,"Building 475, Floor 1, Unit 947, Al Awir, Dubai, UAE",2930283,6,4,3235,Loft,Al Awir,Omniyat,2025-06-05,Pool View,"Pet Friendly, Balcony, Swimming Pool, Built-in Wardrobes, BBQ Area, Terrace",31291,ذريع العقيل,آل جعفر-الحكير,Rented,2025-03-07,2025-08-24 16:23:04
104,"Building 478, Floor 36, Unit 111, Dubai Media City, Dubai, UAE",1227624,2,2,1938,Apartment,Dubai Media City,Omniyat,2022-04-21,City View,"BBQ Area, Garden, Walk-in Closet, Terrace, Spa",10376,الدكتور رجاء المهنا,المشاولة PLC,Available,2025-06-05,2025-08-24 16:23:04
105,"Building 962, Floor 15, Unit 113, Al Warqa, Dubai, UAE",9431425,4,3,4592,Penthouse,Al Warqa,Savills,2020-12-16,Pool View,"24/7 Maintenance, Maid's Room, Tennis Court, Central AC, Swimming Pool, Built-in Wardrobes, Terrace",49670,Lawrence Sloan,آل عايض LLC,Rented,2025-06-19,2025-08-24 16:23:04
106,"Building 25, Floor 1, Unit 1, Al Thanyah, Dubai, UAE",6907645,4,3,5114,Villa,Al Thanyah,Meraas,2027-06-11,Mountain View,"Parking, Garden, Maid's Room, Security, Balcony",40061,جميل المهنا,آل جعفر LLC,Sold,2025-03-05,2025-08-24 16:23:04
107,"Building 121, Floor 30, Unit 812, Dubai Internet City, Dubai, UAE",485979,3,2,4242,Loft,Dubai Internet City,Azizi Developments,2022-01-05,Garden View,"BBQ Area, Spa, Study Room, Garden, Basketball Court, Tennis Court, Children's Playground, Security",13824,السيد كنعان آل بن ظافر,آل بن لافي Ltd,Under Contract,2025-01-15,2025-08-24 16:23:04
108,"Building 126, Floor 5, Unit 480, Al Qusais, Dubai, UAE",383845,4,5,7818,Triplex,Al Qusais,Dubai Properties,2022-06-23,Garden View,"Modern Kitchen, Spa, Tennis Court, Furnished, BBQ Area, Parking, Terrace",7463,السيدة أفراح آل محمد بن علي بن جماز,"حجار, الخرافي and كانو",Under Contract,2025-07-15,2025-08-24 16:23:04
109,"Building 876, Floor 48, Unit 47, Dubai Silicon Oasis, Dubai, UAE",2379197,6,3,6301,Duplex,Dubai Silicon Oasis,Omniyat,2021-03-10,Pool View,"Balcony, Furnished, Security, Garden, Basketball Court",24198,Jessica Barry,"Johnson, Morris and Parks",Available,2025-03-11,2025-08-24 16:23:04
110,"Building 986, Floor 2, Unit 763, Downtown Dubai, Dubai, UAE",957985,3,1,1771,Apartment,Downtown Dubai,Chestertons,2026-04-21,Sea View,"BBQ Area, Furnished, Central AC, Concierge, Gym, Swimming Pool",41953,بنفسج آل حسين,بقشان-آل عطفة,Rented,2025-08-10,2025-08-24 16:23:04
111,"Building 803, Floor 1, Unit 1, Al Manara, Dubai, UAE",8350071,3,2,3483,Villa,Al Manara,Azizi Developments,2021-04-28,Sea View,"Basketball Court, Furnished, BBQ Area, Concierge, Study Room, Driver's Room",29459,Eric Fletcher,آل قصير-الجفالي,Under Contract,2025-04-27,2025-08-24 16:23:04
112,"Building 63, Floor 32, Unit 477, The Springs, Dubai, UAE",1989022,7,2,2346,Serviced Apartment,The Springs,Al Habtoor Group,2025-11-14,Street View,"Central AC, Concierge, Built-in Wardrobes",45146,السيدة دانة الراشد,العقيل Group,Available,2024-11-27,2025-08-24 16:23:04
113,"Building 506, Floor 26, Unit 87, Dubai Media City, Dubai, UAE",1417875,0,1,342,Studio,Dubai Media City,Better Homes,2021-04-11,Pool View,"Tennis Court, Concierge, Spa",46838,Sharon Erickson,Williams Group,Rented,2025-01-02,2025-08-24 16:23:04
114,"Building 245, Floor 39, Unit 703, Jumeirah Beach Residence, Dubai, UAE",3071708,3,3,1767,Apartment,Jumeirah Beach Residence,Savills,2024-02-20,Garden View,"Security, Gym, Modern Kitchen, 24/7 Maintenance, Central AC, Maid's Room, Balcony",27577,David Vasquez,"Foster, Yates and Hill",Available,2025-05-12,2025-08-24 16:23:04
115,"Building 226, Floor 28, Unit 233, Al Nahda, Dubai, UAE",1574503,5,3,2701,Triplex,Al Nahda,Dubai Properties,2025-02-25,Pool View,"Children's Playground, Pet Friendly, Terrace, Study Room, Tennis Court",42791,Jennifer Dennis,"أبو داوود, الجفالي and حنبولي",Available,2025-06-09,2025-08-24 16:23:04
116,"Building 462, Floor 5, Unit 297, Dubai Hills Estate, Dubai, UAE",4980298,7,4,6530,Townhouse,Dubai Hills Estate,Savills,2022-02-15,Sea View,"Tennis Court, Concierge, Gym, Balcony, Pet Friendly, Swimming Pool, Maid's Room",42532,واصل كانو,Brown Inc,Sold,2024-10-03,2025-08-24 16:23:04
117,"Building 963, Floor 7, Unit 249, Jumeirah Beach Residence, Dubai, UAE",3378245,5,2,7012,Penthouse,Jumeirah Beach Residence,Savills,2022-01-05,Street View,"Tennis Court, BBQ Area, Walk-in Closet, Concierge, Swimming Pool, Central AC, Built-in Wardrobes, 24/7 Maintenance",48461,المهندس صدّاح آل بن لافي,"Martinez, Wright and Lane",Sold,2025-05-31,2025-08-24 16:23:04
118,"Building 623, Floor 44, Unit 53, Al Qusais Industrial, Dubai, UAE",2373615,2,1,1223,Apartment,Al Qusais Industrial,Damac Properties,2020-10-13,Pool View,"Basketball Court, Central AC, Children's Playground, Spa, Security, Maid's Room, Driver's Room",40220,Ronald Johnson,"حجار, الحجار and أبو داوود",Sold,2024-10-10,2025-08-24 16:23:04
119,"Building 75, Floor 33, Unit 291, Al Ruwayyah, Dubai, UAE",1787025,6,6,6643,Serviced Apartment,Al Ruwayyah,Sobha Realty,2021-03-12,Mountain View,"Modern Kitchen, Garden, Built-in Wardrobes, Driver's Room, Pet Friendly, Gym, Security, Study Room",32564,عرفات فصيل,الجابر LLC,Sold,2024-11-30,2025-08-24 16:23:04
120,"Building 424, Floor 34, Unit 139, Dubai Marina, Dubai, UAE",10128205,7,3,5449,Penthouse,Dubai Marina,Deyaar Development,2023-11-04,Street View,"Garden, Basketball Court, Modern Kitchen",23384,الآنسة عتاب آل عواض,"Gregory, Oconnell and Smith",Under Contract,2025-05-13,2025-08-24 16:23:04
121,"Building 499, Floor 47, Unit 593, Al Hudaiba, Dubai, UAE",1975567,3,5,4478,Loft,Al Hudaiba,Azizi Developments,2026-07-20,Sea View,"Spa, Maid's Room, Furnished, Tennis Court, Garden, Pet Friendly, Driver's Room, Parking",28322,Rachel Madden,"Schneider, Butler and Johnson",Under Contract,2025-04-01,2025-08-24 16:23:04
122,"Building 697, Floor 50, Unit 882, Dubai International Financial Centre, Dubai, UAE",1158240,3,3,1102,Apartment,Dubai International Financial Centre,Cluttons,2025-09-25,Mountain View,"BBQ Area, Furnished, Driver's Room, Pet Friendly, Concierge, Terrace, Garden",46352,الآنسة ريم آل عواض,آل الشيخ LLC,Under Contract,2025-05-15,2025-08-24 16:23:04
123,"Building 590, Floor 1, Unit 1, Jumeirah Islands, Dubai, UAE",9325258,5,4,3085,Villa,Jumeirah Islands,Dubai Properties,2024-02-10,Mountain View,"Maid's Room, Modern Kitchen, Gym, Spa, Swimming Pool, Children's Playground, Parking",5646,الآنسة جودي بن لادن,آل بن لافي-آل الشيخ,Sold,2024-12-03,2025-08-24 16:23:04
124,"Building 432, Floor 25, Unit 523, Dubai Healthcare City, Dubai, UAE",2187358,6,4,6227,Serviced Apartment,Dubai Healthcare City,Damac Properties,2024-02-12,Street View,"Built-in Wardrobes, Terrace, Furnished",46206,اصيل بقشان,الجفالي and Sons,Rented,2025-02-17,2025-08-24 16:23:04
125,"Building 697, Floor 34, Unit 310, Business Bay, Dubai, UAE",4340612,6,6,5165,Duplex,Business Bay,Bloom Properties,2022-05-30,Garden View,"24/7 Maintenance, Security, Gym, Tennis Court, Driver's Room",24511,لانا آل حسين,كانو-أبو داوود,Rented,2025-05-21,2025-08-24 16:23:04
126,"Building 224, Floor 12, Unit 300, Dubai Silicon Oasis, Dubai, UAE",1127028,2,1,949,Apartment,Dubai Silicon Oasis,Damac Properties,2024-08-24,Street View,"Driver's Room, Terrace, Basketball Court, Built-in Wardrobes, Study Room, Security, Balcony",20106,سرور الجابر,"Paul, Pena and Owens",Available,2025-06-20,2025-08-24 16:23:04
127,"Building 372, Floor 45, Unit 915, Mirdif, Dubai, UAE",1322757,6,4,5312,Garden Apartment,Mirdif,Meraas,2025-08-09,City View,"BBQ Area, Pet Friendly, Garden, Terrace, Balcony, Basketball Court",9633,Michele Shaw,آل سلطان Group,Rented,2025-07-19,2025-08-24 16:23:04
128,"Building 988, Floor 44, Unit 444, Al Wasl, Dubai, UAE",3134231,4,3,2387,Townhouse,Al Wasl,Chestertons,2022-12-01,Sea View,"Concierge, Study Room, Furnished, 24/7 Maintenance, Security",12194,Patrick Jackson,"Hall, Valdez and Walker",Rented,2024-12-07,2025-08-24 16:23:04
129,"Building 957, Floor 1, Unit 1, Dubai Media City, Dubai, UAE",5839120,7,6,7200,Villa,Dubai Media City,Select Group,2026-02-03,Street View,"Furnished, Garden, Balcony",7748,Carla Williams,"آل بن ظافر, آل عطفة and آل عطفة",Rented,2025-05-09,2025-08-24 16:23:04
130,"Building 388, Floor 1, Unit 1, Al Khawaneej, Dubai, UAE",7162564,4,4,2994,Villa,Al Khawaneej,Damac Properties,2021-12-08,City View,"Security, Furnished, Study Room",5676,Anne Wang,Henry-Tucker,Under Contract,2025-04-10,2025-08-24 16:23:04
131,"Building 872, Floor 10, Unit 559, Emirates Hills, Dubai, UAE",2787138,3,3,4639,Loft,Emirates Hills,Damac Properties,2026-01-03,Sea View,"Swimming Pool, BBQ Area, Driver's Room, Balcony",29510,Hayley Byrd,"آل قصير, الحكير and آل علي",Sold,2024-10-31,2025-08-24 16:23:04
132,"Building 156, Floor 50, Unit 510, Al Jafiliya, Dubai, UAE",2125611,0,1,416,Studio,Al Jafiliya,Dubai Properties,2023-09-24,Street View,"Garden, Walk-in Closet, Furnished, Tennis Court, Balcony, Gym",29935,Debra Kidd,Baker LLC,Sold,2024-08-28,2025-08-24 16:23:04
133,"Building 663, Floor 39, Unit 762, The Meadows, Dubai, UAE",1292875,0,1,434,Studio,The Meadows,Omniyat,2020-10-03,Garden View,"Balcony, Gym, Spa, Walk-in Closet, Furnished, Tennis Court, Study Room",20346,Lori Moore,"آل بن لافي, آل العسكري and الجابر",Under Contract,2024-12-14,2025-08-24 16:23:04
134,"Building 916, Floor 36, Unit 787, Dubai Hills Estate, Dubai, UAE",1492046,3,2,1641,Apartment,Dubai Hills Estate,Damac Properties,2023-11-29,City View,"Gym, Security, BBQ Area, Terrace, Spa, Study Room, Basketball Court",5939,أسرار العقيل,آل محمد بن علي بن جماز Group,Under Contract,2025-07-04,2025-08-24 16:23:04
135,"Building 241, Floor 39, Unit 49, Jumeirah, Dubai, UAE",649777,7,3,4378,Serviced Apartment,Jumeirah,Bloom Properties,2022-03-30,Mountain View,"Tennis Court, Maid's Room, Concierge, Security, Balcony",20221,Justin Patterson,Jones and Sons,Rented,2024-10-16,2025-08-24 16:23:04
136,"Building 774, Floor 9, Unit 317, Al Khawaneej, Dubai, UAE",2730591,3,3,6640,Serviced Apartment,Al Khawaneej,Ellington Properties,2024-10-21,City View,"Children's Playground, Study Room, Furnished, Gym",43659,Michael Cunningham,المغاولة-آل عايض,Under Contract,2025-07-31,2025-08-24 16:23:04
137,"Building 285, Floor 19, Unit 81, Dubai Silicon Oasis, Dubai, UAE",2874447,7,6,6460,Garden Apartment,Dubai Silicon Oasis,Emaar Properties,2024-06-18,City View,"Walk-in Closet, Driver's Room, Children's Playground, BBQ Area",38778,Leah Lane,Johnson-Perez,Rented,2025-01-29,2025-08-24 16:23:04
138,"Building 179, Floor 11, Unit 902, Al Marmoom, Dubai, UAE",728429,4,4,6354,Garden Apartment,Al Marmoom,Select Group,2024-07-01,Pool View,"Modern Kitchen, Central AC, Furnished, Tennis Court, BBQ Area, Spa, Study Room",46890,Julia Hall,"Johnson, Smith and Lane",Sold,2024-12-26,2025-08-24 16:23:04
139,"Building 997, Floor 13, Unit 403, Al Warqa, Dubai, UAE",3294275,3,2,6422,Loft,Al Warqa,Sobha Realty,2022-01-03,City View,"Children's Playground, Pet Friendly, Central AC, Maid's Room",42292,Andrew White,آل بن لافي-الجابر,Rented,2024-10-20,2025-08-24 16:23:04
140,"Building 66, Floor 21, Unit 360, Al Lisaili, Dubai, UAE",2808580,4,2,810,Apartment,Al Lisaili,Emaar Properties,2025-04-18,Sea View,"BBQ Area, Terrace, Walk-in Closet, Children's Playground, Balcony, Concierge, Gym, Garden",8314,السيد صبري آل جعفر,Pham PLC,Rented,2025-08-11,2025-08-24 16:23:04
141,"Building 108, Floor 13, Unit 921, Al Wasl, Dubai, UAE",938845,7,2,4577,Serviced Apartment,Al Wasl,Knight Frank,2023-12-08,Sea View,"Balcony, Basketball Court, Driver's Room",11344,جمال الدّين آل حسين,"Figueroa, Campbell and Allen",Rented,2025-05-13,2025-08-24 16:23:04
142,"Building 781, Floor 49, Unit 4, Downtown Dubai, Dubai, UAE",1323380,7,4,5957,Loft,Downtown Dubai,Al Habtoor Group,2024-07-16,Street View,"Security, Built-in Wardrobes, Concierge, BBQ Area, Pet Friendly",8082,السيدة مايا آل عايض,أبا الخيل-آل عايض,Available,2025-03-30,2025-08-24 16:23:04
143,"Building 815, Floor 43, Unit 857, Al Ghadeer, Dubai, UAE",609205,0,1,400,Studio,Al Ghadeer,Meraas,2023-05-10,City View,"Balcony, Furnished, Modern Kitchen, Parking, Children's Playground, 24/7 Maintenance, BBQ Area, Walk-in Closet",19099,بلماء آل سعود,"Chapman, Arnold and Hansen",Rented,2025-01-12,2025-08-24 16:23:04
144,"Building 880, Floor 8, Unit 398, Al Safa, Dubai, UAE",2569071,7,4,4013,Townhouse,Al Safa,Meraas,2026-12-09,City View,"24/7 Maintenance, Concierge, Basketball Court, Children's Playground, Garden, Spa, BBQ Area",21016,لقمان أبا الخيل,"Horn, Reed and Young",Sold,2024-12-09,2025-08-24 16:23:04
145,"Building 500, Floor 1, Unit 1, Al Ghadeer, Dubai, UAE",6219979,6,3,4338,Villa,Al Ghadeer,Ellington Properties,2022-02-20,City View,"Modern Kitchen, Concierge, Gym, Swimming Pool, Spa, Walk-in Closet, Balcony, Central AC",12022,الأستاذ لقمان أبو داوود,آل قصير-آل سلطان,Sold,2025-01-18,2025-08-24 16:23:04
146,"Building 340, Floor 37, Unit 2, Dubai Hills Estate, Dubai, UAE",1610999,7,4,5227,Triplex,Dubai Hills Estate,Al Habtoor Group,2026-08-28,Sea View,"24/7 Maintenance, Driver's Room, Garden, Tennis Court",13175,Elizabeth Pacheco,آل علي-فصيل,Rented,2024-10-12,2025-08-24 16:23:04
147,"Building 912, Floor 11, Unit 415, Al Faqa, Dubai, UAE",1701480,2,3,1361,Apartment,Al Faqa,Better Homes,2027-06-02,Mountain View,"Balcony, Furnished, Terrace",10554,الدكتور مرتجي المهيدب,آل سلطان-الراشد,Rented,2025-07-23,2025-08-24 16:23:04
148,"Building 379, Floor 15, Unit 564, Mirdif, Dubai, UAE",15146890,3,2,2550,Penthouse,Mirdif,Nakheel,2020-11-24,Mountain View,"Terrace, Walk-in Closet, Children's Playground, Balcony, Pet Friendly",39545,Antonio Klein,"Dalton, Myers and Herrera",Sold,2024-09-18,2025-08-24 16:23:04
149,"Building 541, Floor 24, Unit 407, Arabian Ranches, Dubai, UAE",829941,4,6,5956,Serviced Apartment,Arabian Ranches,Meraas,2021-11-07,Street View,"Study Room, Basketball Court, Tennis Court, Swimming Pool, Built-in Wardrobes, Maid's Room, Gym",10215,ممتاز آل صفوان,Moyer-French,Under Contract,2025-02-15,2025-08-24 16:23:04
150,"Building 635, Floor 38, Unit 552, Business Bay, Dubai, UAE",4303994,7,4,3792,Townhouse,Business Bay,Chestertons,2026-05-07,Street View,"Children's Playground, Spa, 24/7 Maintenance, Built-in Wardrobes",24090,Jesse Lowe,Morales-Nelson,Rented,2024-12-20,2025-08-24 16:23:04
151,"Building 721, Floor 46, Unit 873, Al Ruwayyah, Dubai, UAE",3003232,5,2,3645,Garden Apartment,Al Ruwayyah,Al Habtoor Group,2021-04-21,City View,"Pet Friendly, Central AC, Driver's Room, Maid's Room, Modern Kitchen, Terrace, BBQ Area, Built-in Wardrobes",39335,المهندسة ميار كانو,Jackson Ltd,Rented,2025-02-08,2025-08-24 16:23:04
152,"Building 772, Floor 1, Unit 1, Al Qusais, Dubai, UAE",3292942,7,2,4661,Villa,Al Qusais,Al Habtoor Group,2022-09-02,Mountain View,"Garden, Security, Driver's Room",45720,Taylor Brock,"آل حسين, آل محمد بن علي بن جماز and المشاولة",Available,2025-03-22,2025-08-24 16:23:04
153,"Building 533, Floor 29, Unit 489, Al Satwa, Dubai, UAE",2066570,3,2,6696,Serviced Apartment,Al Satwa,Al Habtoor Group,2021-09-08,Sea View,"Pet Friendly, Central AC, Balcony, Swimming Pool, Maid's Room, Security, Study Room",45584,زياد المشاولة,المشاولة Group,Sold,2025-07-30,2025-08-24 16:23:04
154,"Building 302, Floor 3, Unit 179, Al Safa, Dubai, UAE",2368044,6,6,6679,Townhouse,Al Safa,Omniyat,2025-09-17,City View,"Walk-in Closet, Garden, Swimming Pool",28164,ترانيم بقشان,Wright LLC,Sold,2025-04-02,2025-08-24 16:23:04
155,"Building 381, Floor 49, Unit 362, Al Thanyah, Dubai, UAE",826957,1,3,1124,Apartment,Al Thanyah,Chestertons,2025-11-13,Sea View,"24/7 Maintenance, Security, Concierge, Parking, Spa, Children's Playground, Terrace",13260,الآنسة دانة الحكير,Phillips-Davila,Sold,2025-07-31,2025-08-24 16:23:04
156,"Building 306, Floor 46, Unit 147, The Meadows, Dubai, UAE",2622025,6,5,5504,Duplex,The Meadows,Omniyat,2024-03-28,Sea View,"Concierge, Security, Modern Kitchen, Maid's Room, Pet Friendly, Furnished, Driver's Room, Parking",39267,الأستاذ ملهم الخرافي,"Dixon, Roberson and Valdez",Available,2024-10-28,2025-08-24 16:23:04
157,"Building 141, Floor 44, Unit 567, Al Qusais Industrial, Dubai, UAE",5534335,4,5,2263,Penthouse,Al Qusais Industrial,Sobha Realty,2024-01-04,Street View,"Gym, Tennis Court, Basketball Court, Children's Playground, Parking, Furnished",40129,صخر آل عطفة,"شربتلي, آل مقطة and آل محمد بن علي بن جماز",Sold,2024-09-27,2025-08-24 16:23:04
158,"Building 176, Floor 6, Unit 227, Palm Jumeirah, Dubai, UAE",13319450,4,4,6403,Penthouse,Palm Jumeirah,Bloom Properties,2024-12-20,City View,"Study Room, Basketball Court, Garden, Children's Playground, Central AC, Furnished",12889,ريف حجار,Turner LLC,Available,2025-05-31,2025-08-24 16:23:04
159,"Building 792, Floor 29, Unit 886, Emirates Hills, Dubai, UAE",642218,4,4,2954,Serviced Apartment,Emirates Hills,Bloom Properties,2025-09-29,Pool View,"Concierge, 24/7 Maintenance, Garden, Balcony, Children's Playground, Furnished, Driver's Room",14379,مطاوع آل سعود,"Miller, Casey and Miranda",Rented,2024-09-13,2025-08-24 16:23:04
160,"Building 589, Floor 14, Unit 464, Al Yalayis, Dubai, UAE",6287741,3,3,5933,Penthouse,Al Yalayis,Deyaar Development,2022-05-17,Mountain View,"Terrace, Built-in Wardrobes, Tennis Court, 24/7 Maintenance",22473,المهندسة تمام الدباغ,"Jimenez, Jones and Martinez",Under Contract,2024-11-02,2025-08-24 16:23:04
161,"Building 758, Floor 8, Unit 545, Dubai Hills Estate, Dubai, UAE",1538921,2,3,850,Apartment,Dubai Hills Estate,Bloom Properties,2024-05-05,Garden View,"BBQ Area, Furnished, Pet Friendly, Concierge, Garden, Modern Kitchen",12824,الدكتورة هنادي آل قصير,العجلان-العقيل,Available,2024-11-25,2025-08-24 16:23:04
162,"Building 681, Floor 49, Unit 364, Dubai Healthcare City, Dubai, UAE",2701765,4,2,1025,Apartment,Dubai Healthcare City,Better Homes,2021-05-10,Sea View,"Parking, Gym, Terrace, Central AC, 24/7 Maintenance",30077,المهندسة فرات آل عواض,آل مقطة-آل حسين,Under Contract,2024-10-05,2025-08-24 16:23:04
163,"Building 269, Floor 38, Unit 532, Mirdif, Dubai, UAE",12628073,5,5,3837,Penthouse,Mirdif,Al Habtoor Group,2026-10-23,City View,"Children's Playground, Basketball Court, Maid's Room, Central AC",40620,David Taylor,Perez-Daniels,Under Contract,2025-05-12,2025-08-24 16:23:04
164,"Building 325, Floor 37, Unit 361, Al Ghadeer, Dubai, UAE",2289103,4,2,780,Apartment,Al Ghadeer,Chestertons,2022-07-11,Garden View,"Security, Furnished, Spa, Built-in Wardrobes, Pet Friendly",30036,Daniel Hardy,"آل مقطة, حنبولي and آل قصير",Rented,2024-10-05,2025-08-24 16:23:04
