id,vendor_name,vendor_type,contact_person,email,phone,address,license_number,rating,specializations,contract_start_date,contract_end_date,status,total_projects,average_rating
109,Benson PLC,Electrical,ريم آل قصير,bakeralyssa@example.com,001-352-559-8805,"66898 Cheyenne Union
Kaitlinburgh, AL 99468",LIC-85825,2.5,"['Renovation', 'Maintenance', 'Commercial']",2025-08-15,2027-02-08,Active,156,4.5
110,Cordova Group,HVAC,Joel Freeman,saunderskatherine@example.org,(797)287-1636,"85732 Hall Lights
Walkerchester, PA 94424",LIC-93756,2.2,['Residential'],2024-03-23,2025-11-27,Active,119,3.5
111,"آل حسين, آل محمد بن علي بن جماز and الشايع",Painting,Danielle Bennett,ral-ly@example.net,611-704-4037x29024,"75870 William Crossing
West Deannaville, PR 68247",LIC-18940,3.8,['Maintenance'],2024-10-27,2028-06-05,Inactive,38,3.7
112,"المغاولة, آل سلطان and آل العسكري",Cleaning,السيد غازي أبو داوود,nal-qsyr@example.com,(968)969-4132,"65466 وصاف Skyway
جابرburgh, MP 67666",LIC-61772,3.5,['Residential'],2024-11-13,2028-01-25,Inactive,61,4.7
113,آل عواض LLC,Painting,Debra Grimes,mrtdy13@example.com,+1-488-258-8081x8011,"2543 Mark Wells
North Cheryl, NM 96384",LIC-38042,2.3,['Renovation'],2025-08-06,2027-04-26,Suspended,151,3.2
114,"شربتلي, آل رفيع and شربتلي",Plumbing,رمضان آل جعفر,rydlqyl@example.net,(935)979-3067,"Unit 4348 Box 9186
DPO AP 31326",LIC-23762,2.9,"['Maintenance', 'Renovation']",2023-10-22,2026-06-23,Suspended,124,4.6
115,الراشد-الدباغ,Electrical,Lisa Jones,alexander85@example.com,(973)267-3928,"837 Andrew Greens
East James, AR 87852",LIC-70288,3.1,"['Maintenance', 'Renovation']",2025-03-11,2028-02-19,Active,71,3.5
116,المهيدب-آل حسين,Electrical,لبيب آل محمد بن علي بن جماز,james75@example.com,001-485-229-1493x6194,"9404 العجلان Orchard
Port جابر, LA 49753",LIC-16854,2.9,"['Renovation', 'Residential', 'Commercial']",2024-03-09,2027-02-08,Inactive,72,3.8
117,"Moore, Fitzgerald and Young",Carpentry,السيد همام آل الشيخ,fredwright@example.org,(823)728-1458,"4547 Tanner Stravenue Apt. 111
Hollyfurt, PA 21836",LIC-54834,4.1,['Commercial'],2025-05-21,2027-11-05,Active,22,3.8
118,آل خضير Group,Security,Jeffrey Lee,matthewbailey@example.net,(378)761-1467x4443,"00679 Brown Passage
Ruthhaven, KS 09455",LIC-50785,3.0,"['Commercial', 'Luxury', 'Renovation']",2024-07-03,2028-04-30,Suspended,88,4.6
119,آل بن ظافر PLC,Security,Brady Moody,val-lskry@example.net,+1-480-964-9113x85802,"09714 Cooper Squares
Chadmouth, AL 82148",LIC-10758,2.9,['Commercial'],2024-09-20,2027-03-21,Active,12,3.6
120,Green LLC,Maintenance,المهندس غزير الراشد,xanderson@example.org,595.397.8425x601,"USCGC Olsen
FPO AP 54229",LIC-86718,2.0,"['Renovation', 'Residential', 'Maintenance']",2024-06-08,2025-12-13,Suspended,56,3.9
121,فصيل Ltd,Contractor,Jacob Barry,ucook@example.net,(471)797-2584x836,"PSC 9311, Box 2032
APO AE 53082",LIC-73704,2.6,"['Renovation', 'Residential', 'Luxury']",2024-06-08,2026-02-28,Inactive,109,3.6
122,"Lopez, Lewis and Oconnor",Contractor,السيد شامل الحكير,robert07@example.com,688.497.7136x9134,"671 لطفي Trafficway Suite 506
Lake وفاءshire, PA 46212",LIC-37117,2.7,['Residential'],2024-05-02,2026-05-06,Active,142,3.2
123,المهنا Inc,Landscaping,الآنسة مادلين آل العسكري,paulharvey@example.com,679-659-0738,"65812 Watson Ville
Christopherbury, SC 49881",LIC-78720,4.5,"['Residential', 'Commercial', 'Renovation']",2024-06-16,2028-08-04,Suspended,74,3.5
124,Rowe-Howard,Painting,Olivia Wood,jamesgreen@example.org,(472)920-2138,"9652 Nguyen Court
Lake Kevinhaven, ME 48690",LIC-14200,3.1,"['Residential', 'Luxury', 'Renovation']",2023-12-28,2027-12-31,Active,200,3.2
125,Jones and Sons,Painting,ميلاء آل صفوان,jennifer07@example.org,001-680-792-7564x8422,"705 Angel Orchard
Morrisburgh, NE 37147",LIC-88169,1.8,['Commercial'],2025-05-09,2027-02-22,Inactive,59,3.9
126,"Smith, Schmidt and Harper",Painting,الآنسة ابتسام حجار,paul93@example.org,4117934048,"20947 Bell Via
Robertview, CO 26077",LIC-15571,1.8,"['Residential', 'Commercial', 'Renovation']",2024-04-28,2026-04-06,Suspended,31,4.5
127,Bradley PLC,Painting,هيام حنبولي,trflrshd@example.com,929-987-9466,"049 عتريس Via Suite 103
أريجbury, DE 59354",LIC-28551,4.7,"['Maintenance', 'Luxury', 'Commercial']",2024-10-25,2026-12-02,Inactive,42,4.3
128,Kemp-Roberts,Cleaning,السيدة بلقيس المشاولة,paige63@example.net,(236)585-7360,"PSC 0244, Box 5795
APO AP 28473",LIC-80289,3.8,"['Residential', 'Commercial']",2025-03-15,2028-04-27,Inactive,168,4.9
129,"Rush, Walker and Taylor",Security,Seth Melendez,al-mydmkhtr@example.com,+1-604-677-4744x73575,"2612 آل بن ظافر Village Apt. 040
آل عايضmouth, AZ 60318",LIC-89819,4.6,"['Residential', 'Luxury']",2024-01-06,2026-10-23,Inactive,112,3.4
130,آل العسكري and Sons,Security,Erin Porter,sabrinaaguilar@example.org,7009765940,"81531 George Meadows Apt. 915
Allenchester, MH 36684",LIC-37533,4.6,"['Residential', 'Renovation', 'Maintenance']",2024-04-17,2026-08-02,Active,47,3.7
131,"بقشان, بن لادن and آل سلطان",Painting,شادن آل عايض,al-lskryslmn@example.com,(392)734-4909,"177 وسيم Valleys Suite 817
حجارport, MA 60160",LIC-34956,3.3,['Renovation'],2024-10-17,2025-11-14,Active,90,3.8
132,"آل مقطة, آل عطفة and آل رفيع",Security,الدكتور عزّ الدّين بقشان,bdllh84@example.com,+1-604-248-6090x87444,"3585 آل الشيخ Ports Apt. 849
Port فاتحchester, ID 25719",LIC-12042,3.1,"['Renovation', 'Residential', 'Luxury']",2023-09-21,2027-06-30,Suspended,52,3.3
133,آل خضير-آل خضير,Carpentry,ترانيم آل محمد بن علي بن جماز,carollam@example.org,270.265.8358,"8723 شاطر Park
West كاملةtown, ND 18279",LIC-57357,5.0,"['Maintenance', 'Residential', 'Commercial']",2025-01-23,2027-08-23,Inactive,126,4.7
134,Escobar-Richard,Maintenance,Daisy Rowland DDS,bw-dwwdfrt@example.net,478.869.5504x6727,"1721 Belinda Route
Bakerville, PW 13850",LIC-88602,4.1,"['Luxury', 'Renovation']",2025-02-14,2025-10-06,Inactive,150,4.8
135,"Stevenson, Clark and Rose",Painting,مشفق شربتلي,htmal-qsyr@example.com,001-991-947-6385x6588,"8635 مهنا Extensions
East عبد التّواب, SD 18753",LIC-86953,4.9,['Residential'],2024-06-06,2028-07-29,Inactive,72,3.8
136,"Gutierrez, Underwood and Williams",Carpentry,السيدة ليساء آل سعود,nwf30@example.net,001-244-895-1088x20355,"3540 Nathan Plaza
Collinsshire, LA 29206",LIC-70983,1.6,"['Commercial', 'Luxury', 'Maintenance']",2025-04-12,2027-09-22,Inactive,30,4.7
137,"الراشد, شربتلي and الشايع",Contractor,كرمة آل عطفة,lshepherd@example.net,782-590-2046x561,"359 الحكير Rue Suite 906
Port معين, AK 43770",LIC-77413,2.1,['Commercial'],2023-10-17,2026-08-25,Inactive,140,3.9
138,"آل مقطة, بن لادن and آل معيض",Maintenance,نشأت الجفالي,jonathanriddle@example.com,+1-344-438-4033,"60155 Crystal Estates Apt. 609
New Matthew, AK 49307",LIC-84026,1.4,"['Renovation', 'Commercial']",2024-04-29,2027-06-27,Active,16,4.1
139,"آل عطفة, آل عايض and المهنا",Landscaping,Jeffery Brown,bn-ldnmys@example.com,452-543-9046,"10293 Jones Point Suite 597
Lake Kelly, TX 32449",LIC-18145,1.5,['Luxury'],2024-06-14,2028-02-14,Suspended,85,3.6
140,Walker Group,Plumbing,Dr. Tracy Vargas MD,jennifer90@example.com,9929497094,"257 Deborah Port Suite 342
Anthonyton, DE 72969",LIC-72886,2.5,"['Residential', 'Maintenance', 'Commercial']",2025-05-09,2028-04-12,Suspended,94,4.7
141,آل خضير Ltd,Landscaping,Katie Trevino,mzn31@example.org,233.994.6938,"890 Madison Ferry
Hancocktown, MH 62568",LIC-51131,3.9,['Renovation'],2025-07-17,2026-02-05,Suspended,147,4.9
142,أبا الخيل-العجلان,Painting,ابتهاج الخرافي,fwzy32@example.org,642-563-9798,"1726 Emily Isle Suite 018
Jennifermouth, SD 65394",LIC-40063,3.7,['Commercial'],2024-06-18,2025-12-03,Active,158,4.4
143,العجلان and Sons,Carpentry,Amanda Dyer,mhnjlnr@example.net,+1-876-666-8801,"642 Christopher Path
Lindafort, PR 04814",LIC-64550,2.2,"['Residential', 'Commercial']",2025-03-06,2025-09-23,Active,64,4.4
144,العقيل-آل معيض,Landscaping,Christopher Foster,ilmgwl@example.net,879.869.6394,"245 آل خضير Drives Apt. 272
آل معيضshire, IA 80252",LIC-93002,4.1,['Residential'],2023-09-10,2026-09-11,Suspended,86,4.8
145,"آل سعود, حجار and فصيل",HVAC,Kimberly Rowe,rogersrobert@example.net,(481)610-3243,"031 آل خضير Light
بورانville, MN 16413",LIC-58892,2.6,"['Residential', 'Renovation']",2025-06-23,2025-09-17,Inactive,102,3.2
146,Goodman Group,Maintenance,ترف آل سعود,zwhite@example.org,001-727-347-6221x9614,"7135 قدري Ford Apt. 320
West مشرف, NH 25505",LIC-20296,3.3,['Commercial'],2023-12-14,2025-10-28,Suspended,162,3.3
147,كانو-بن لادن,Carpentry,Robert Howard,wdwh54@example.com,+1-703-679-8974x20960,"69020 Nelson Mission
Matthewchester, OK 60650",LIC-23886,1.7,"['Luxury', 'Residential', 'Maintenance']",2024-01-30,2028-05-18,Suspended,113,3.3
148,"Campbell, Henry and Strickland",Carpentry,هيثم المشاولة,mwywd29@example.net,001-827-852-8043x53634,"234 المهيدب Manors Suite 912
West عاتب, VT 02555",LIC-99642,1.3,"['Maintenance', 'Commercial', 'Renovation']",2023-12-20,2027-09-29,Inactive,108,3.2
149,"الجفالي, آل قصير and آل قصير",Carpentry,السيد علاء الدّين الدباغ,sbr79@example.org,997-928-6070x004,"04235 آل بن ظافر Junctions
المشاولةfort, RI 35464",LIC-98412,4.6,['Commercial'],2024-04-15,2026-12-20,Inactive,200,3.6
150,"Wilson, Ferguson and Glover",Carpentry,ريتاج آل عايض,bw-dwwdfdl@example.net,(200)555-7432,"USNS Garcia
FPO AE 87011",LIC-36374,3.3,['Luxury'],2023-12-07,2027-08-14,Active,67,3.8
